File_ID,Genre,Sentence_ID,Original_Word,Lemma,POS,Metaphor,Type,Subtype,MFlag,xml:id,corresp
a6u-fragment02,Academic,a6u-fragment02_s164,HER,she,DPS,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,DRESS,dress,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,HANGS,hang,VVZ,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,HERE',here',NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,DE-FROCKING,de-frock,VVG,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,THE,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,KAHLO,kahlo,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s164,CULT,cult,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s165,Oriana,oriana,NP0-NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s165,Baddeley,baddeley,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,The,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,1990s,1990s,CRD,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,have,have,VHB,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,witnessed,witness,VVN,mrw,met,PP,,,
a6u-fragment02,Academic,a6u-fragment02_s166,a,a,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,shift,shift,NN1-VVB,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,in,in,PRP,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,establishment,establishment,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,'s,'s,POS,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,attitudes,attitude,NN2,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,towards,towards,PRP,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,produced,produce,VVN,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,outside of,outside of,PRP,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,its,it,DPS,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,traditional,traditional,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s166,parameters,parameter,NN2,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,The,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,work,work,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,previously,previously,AV0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,marginalised,marginalised,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,artists,artist,NN2,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,has,have,VHZ,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,become,become,VVN,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,an,an,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,area,area,NN1,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,rich,rich,AJ0,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,speculation,speculation,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,among,among,PRP,mrw,met,WIDLII,,,
a6u-fragment02,Academic,a6u-fragment02_s167,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,dealers,dealer,NN2,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,priced,price,VVN,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,out of,out of,PRP,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,modern,modern,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,masters,master,NN2,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s167,market,market,NN1-VVB,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,Almost,almost,AV0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,every,every,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,year,year,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,has,have,VHZ,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,witnessed,witness,VVN,mrw,met,PP,,,
a6u-fragment02,Academic,a6u-fragment02_s168,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,discovery,discovery,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,new,new,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,artistic,artistic,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,terrain,terrain,NN1,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,graffiti,graffiti,NN0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,Soviet,soviet,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,Australian,australian,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,art,art,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,Latin,latin,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s168,America,america,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,The,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,major,major,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,auction,auction,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,houses,house,NN2,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,have,have,VHB,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,moved,move,VVN,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,with,with,PRP,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,times,time,NN2,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,and,and,CJC,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,have,have,VHB,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,found,find,VVN,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,new,new,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,ways,way,NN2,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,selling,sell,VVG-NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,works,works,NN0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,which,which,DTQ,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,in,in,PRP,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,both,both,AV0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,form,form,VVB-NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,and,and,CJC,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,content,content,NN1,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,would,would,VM0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,have,have,VHI,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,proved,prove,VVN,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,an,an,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,unstable,unstable,AJ0,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,investment,investment,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,a,a,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,decade,decade,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s169,ago,ago,AV0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,The,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,current,current,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,status,status,NN1,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,work,work,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,Mexican,mexican,AJ0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,painter,painter,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,Frida,frida,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,Kahlo,kahlo,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,is,be,VBZ,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,a,a,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,dramatic,dramatic,AJ0,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,example,example,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,this,this,DT0,mrw,met,,,,
a6u-fragment02,Academic,a6u-fragment02_s170,change,change,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,Once,once,AV0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,known,know,VVN,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,primarily,primarily,AV0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,as,as,PRP,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,the,the,AT0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,wife,wife,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,of,of,PRF,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,Diego,diego,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,Rivera,rivera,NP0,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,her,she,DPS,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,reputation,reputation,NN1,,,,,,
a6u-fragment02,Academic,a6u-fragment02_s171,outside of,outside of,PRP,,,,,,
