File_ID,Genre,Sentence_ID,Original_Word,Lemma,POS,Metaphor,Type,Subtype,MFlag,xml:id,corresp
ab9-fragment03,Fiction,ab9-fragment03_s791,The,the,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,boy,boy,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,and,and,CJC,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,the,the,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,dog,dog,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,skirted,skirt,VVD,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,round,round,AVP-PRP,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,opposite,opposite,AJ0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,sides,side,NN2,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,of,of,PRF,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,the,the,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,puddle,puddle,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,the,the,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,boy,boy,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,a,a,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,light,light,NN1-AJ0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,tall,tall,AJ0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,fourteen-year-old,fourteen-year-old,AJ0-NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,labouring,labour,VVG,mrw,met,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,in,in,PRP,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,wellington,wellington,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,boots,boot,NN2,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,too,too,AV0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,large,large,AJ0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,for,for,PRP,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,him,he,PNP,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,and,and,CJC,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,the,the,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,dog,dog,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,a,a,AT0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,three-year-old,three-year-old,AJ0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,Labrador,labrador,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,bitch,bitch,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,picking,pick,VVG,mrw,met,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,her,she,DPS,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,way,way,NN1,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,reluctantly,reluctantly,AV0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,with,with,PRP,mrw,met,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,frequent,frequent,AJ0,,,,,,
ab9-fragment03,Fiction,ab9-fragment03_s791,pauses,pause,NN2,,,,,,
